time,power,soc,current,voltage,output,loss,temp,warning
46.4,0.0,40.246653908884305,3.69415088337511e-14,349.33837642618295,1.2905086718716105e-11,2.2152102579177726e-28,60,
46.5,0.0,40.246653908884305,8.619685394541924e-14,349.38106070740116,3.011554826109151e-11,1.2060589181996766e-27,60,
46.6,0.0,40.246653908884305,2.462767255583407e-14,349.42363400478604,8.605490841539478e-12,9.845378924078992e-29,60,
46.7,0.0,40.246653908884305,-6.156918138958518e-14,349.4660966069077,-2.1516341491500996e-11,6.15336182754937e-28,60,
46.8,0.0,40.246653908884305,6.156918138958518e-14,349.5084488015859,2.1518949081457387e-11,6.1533618275489335e-28,60,
46.9,0.0,40.246653908884305,8.619685394541924e-14,349.5506908758924,3.0130169847949694e-11,1.2060589181996766e-27,60,
47.0,0.0,40.246653908884305,2.462767255583407e-14,349.5928231161522,8.609657575574217e-12,9.845378924078992e-29,60,
47.1,0.0,40.246653908884305,2.462767255583407e-14,349.6348458079459,8.610692496667626e-12,9.845378924078992e-29,60,
47.2,0.0,40.246653908884305,3.69415088337511e-14,349.6767592361116,1.2917587090278274e-11,2.2152102579177726e-28,60,
47.3,0.0,40.246653908884305,-2.462767255583407e-14,349.7185636847467,-8.612754273124547e-12,9.845378924078295e-29,60,
47.4,0.0,40.246653908884305,-8.619685394541924e-14,349.7602594372101,-3.0148233998621144e-11,1.2060589181996766e-27,60,
47.5,0.0,40.246653908884305,8.619685394541924e-14,349.8018467761237,3.015181869639946e-11,1.2060589181996766e-27,60,
47.6,0.0,40.246653908884305,-2.462767255583407e-14,349.84332598337477,-8.61582687816247e-12,9.845378924078992e-29,60,
47.7,0.0,40.246653908884305,3.69415088337511e-14,349.8846973401175,1.292526863758428e-11,2.2152102579177726e-28,60,
47.8,0.0,40.246653908884305,1.2313836277917035e-14,349.92596112677506,4.308930994707869e-12,2.4613447310195737e-29,60,
47.9,0.0,40.246653908884305,-1.2313836277917035e-14,349.96711762304164,-4.3094377890646685e-12,2.461344731019748e-29,60,
48.0,0.0,40.246653908884305,-9.851069022333628e-14,350.008167107884,-3.447954612560248e-11,1.5752606278526387e-27,60,
48.1,0.0,40.246653908884305,-9.851069022333628e-14,350.0491098595436,-3.448357942432811e-11,1.5752606278526387e-27,60,
48.2,0.0,40.246653908884305,-1.2313836277917035e-14,350.0899461555384,-4.310950279504091e-12,2.461344731019748e-29,60,
48.3,0.0,40.246653908884305,1.2313836277917035e-14,350.1306762726651,4.311451823497969e-12,2.4613447310195737e-29,60,
48.4,0.0,40.246653908884305,4.925534511166814e-14,350.1713004870003,1.7247808253688846e-11,3.938151569631597e-28,60,
48.5,0.0,40.246653908884305,-2.462767255583407e-14,350.2118190739029,-8.624902005335086e-12,9.845378924078992e-29,60,
48.6,0.0,40.246653908884305,-6.156918138958518e-14,350.2522323080159,-2.1564743223079356e-11,6.15336182754937e-28,60,
48.7,0.0,40.246653908884305,8.619685394541924e-14,350.29254046326815,3.019411494848219e-11,1.2060589181996766e-27,60,
48.8,0.0,40.246653908884305,8.619685394541924e-14,350.3327438128763,3.019758035073647e-11,1.2060589181995909e-27,60,
48.9,0.0,40.246653908884305,-4.925534511166814e-14,350.37284262934656,-1.7257735281464655e-11,3.938151569631597e-28,60,
49.0,0.0,40.246653908884305,-6.156918138958518e-14,350.41283718447653,-2.1574631533850212e-11,6.15336182754937e-28,60,
49.1,0.0,40.246653908884305,-7.38830176675022e-14,350.4527277493573,-2.5892505075930103e-11,8.86084103167109e-28,60,
49.2,0.0,40.246653908884305,4.925534511166814e-14,350.4925145943748,1.7263629765402313e-11,3.938151569631597e-28,60,
49.3,0.0,40.246653908884305,8.619685394541924e-14,350.5321979892123,3.0214772673242915e-11,1.2060589181995909e-27,60,
49.4,0.0,40.246653908884305,-1.2313836277917035e-14,350.57177820285165,-4.316883480448159e-12,2.461344731019748e-29,60,
49.5,0.0,40.246653908884305,8.619685394541924e-14,350.61125550357514,3.022158718226174e-11,1.2060589181996766e-27,60,
49.6,0.0,40.246653908884305,-2.462767255583407e-14,350.65063015896783,-8.635708901051935e-12,9.845378924078992e-29,60,
49.7,0.0,40.246653908884305,2.462767255583407e-14,350.6899024359189,8.636676085829208e-12,9.845378924078992e-29,60,
49.8,0.0,40.246653908884305,8.619685394541924e-14,350.7290726006235,3.0231742645368284e-11,1.2060589181995909e-27,60,
49.9,0.0,40.246653908884305,-8.619685394541924e-14,350.76814091858483,-3.023511021146549e-11,1.2060589181996766e-27,60,
50.0,0.0,40.246653908884305,8.619685394541924e-14,350.8071076546155,3.023846902151986e-11,1.2060589181996766e-27,60,
50.1,0.0,40.246653908884305,-6.156918138958518e-14,350.8459730728398,-2.1601299355927192e-11,6.15336182754937e-28,60,
50.2,0.0,40.246653908884305,4.925534511166814e-14,350.8847374366952,1.7282948836861485e-11,3.938151569631597e-28,60,
50.3,0.0,40.246653908884305,-2.462767255583407e-14,350.92340100893415,-8.642426612227682e-12,9.845378924078295e-29,60,
50.4,0.0,40.246653908884305,4.925534511166814e-14,350.961964051626,1.7286752660431708e-11,3.938151569631597e-28,60,
50.5,0.0,40.246653908884305,-7.38830176675022e-14,351.0004268261587,-2.5932970736497897e-11,8.86084103167109e-28,60,
50.6,0.0,40.246653908884305,7.38830176675022e-14,351.03878959324027,2.593580509349596e-11,8.86084103167109e-28,60,
50.7,0.0,40.246653908884305,-7.38830176675022e-14,351.0770526129014,-2.5938632080853598e-11,8.86084103167109e-28,60,
50.8,0.0,40.246653908884305,-6.156918138958518e-14,351.11521614449623,-2.1617876431443895e-11,6.1533618275489335e-28,60,
50.9,0.0,40.246653908884305,7.38830176675022e-14,351.1532804467046,2.5944264023245235e-11,8.86084103167109e-28,60,
51.0,0.0,40.246653908884305,7.38830176675022e-14,351.19124577753405,2.594706901645366e-11,8.86084103167109e-28,60,
51.1,-35000.0,40.39143789463458,-93.82002276617321,373.0546952352611,-35000.0,1084.2075912341722,60,
51.2,-50000.0,40.593292111479094,-130.80153251524493,382.2585182186037,-50000.00000000004,2105.855876322996,60,
51.3,-50000.0,40.79474826872362,-130.54358989446007,383.0138273386167,-49999.99999999991,2095.4137730550365,60,
51.4,-50000.0,40.99580947645604,-130.28766261060247,383.76619088975207,-50000.00000000008,2085.0737005470864,60,
51.5,-50000.0,41.19647881051887,-130.03372847270833,384.5156221179498,-50000.00000000001,2074.8342403826973,60,
51.6,-50000.0,41.39675931300991,-129.78176561419505,385.26213419407526,-50000.00000000004,2064.6939992211464,60,
51.7,-50000.0,41.59665399277369,-129.53175248693157,386.0057402145038,-49999.99999999991,2054.6516082594258,60,
51.8,-50000.0,41.79616582588393,-129.2836678554436,386.7464532017035,-49999.9999999999,2044.7057227086334,60,
51.9,-60000.0,42.03178697498482,-152.68250461737296,392.9723326871128,-59999.99999999992,2848.919675218593,60,
52.0,-60000.0,42.266898864682275,-152.35250452394843,393.82352254385546,-60000.000000000044,2833.2080984495196,60,
52.1,-60000.0,42.50150575047436,-152.02526199326684,394.67124879980406,-60000.000000000015,2817.662205615057,60,
52.2,-60000.0,42.73561183780512,-151.70074459033788,395.515527376136,-59999.99999999999,2802.2795186804515,60,
52.3,-60000.0,42.96922128284738,-151.3789203873943,396.35637410052783,-60000.00000000007,2787.0576066604012,60,
52.4,-60000.0,43.20233819327023,-151.0597579540042,397.193804707864,-59999.99999999995,2771.994084539726,60,
52.5,-60000.0,43.43496662899155,-150.74322634741506,398.02783484094397,-59999.999999999956,2757.086612220123,60,
52.6,-30000.0,43.55609700114662,-78.49248115647745,382.2022129762212,-30000.000000000022,746.6403335450761,60,
52.7,-30000.0,43.67708122482853,-78.39777694587211,382.6639117677112,-29999.99999999991,744.3755413960843,60,
52.8,0.0,43.67708122482853,9.030710287255282e-14,365.0000952806346,3.296210115299985e-11,1.211077099672061e-27,60,
52.9,0.0,43.67708122482853,3.4254418330968315e-14,365.0170129164523,1.2503445458360622e-11,1.7424533776495817e-28,60,
53.0,0.0,43.67708122482853,8.407902681237677e-14,365.03388147792816,3.0691693508208686e-11,1.049792158931029e-27,60,
53.1,0.0,43.67708122482853,-5.6052684541584517e-14,365.05070110741616,-2.0462071790858255e-11,4.665742928582351e-28,60,
53.2,0.0,43.67708122482853,8.407902681237677e-14,365.06747194685704,3.0694517762146396e-11,1.049792158931029e-27,60,
53.3,0.0,43.67708122482853,1.8684228180528172e-14,365.08419413778023,6.821316388374532e-12,5.184158809535577e-29,60,
53.4,0.0,43.67708122482853,-6.228076060176057e-15,365.10086782130423,-2.2738759744273678e-12,5.76017645503994e-30,60,
